,Impressions,Comments,Shares,Likes
0,3920,9,5,162
1,5394,7,14,224
2,4021,11,1,131
3,4528,10,7,213
4,2518,5,4,123
5,3884,7,10,144
6,2621,5,1,76
7,3541,4,9,124
8,3749,6,8,159
9,4115,6,3,191
10,2218,6,3,81
11,3234,8,14,151
12,4344,7,11,162
13,3216,5,5,142
14,9453,6,10,294
15,5055,7,11,159
17,3169,8,1,121
18,6168,6,6,151
19,2407,8,20,72
20,2064,4,5,76
21,3973,3,4,91
22,7281,7,9,195
23,3052,5,14,129
24,4628,8,3,160
25,4082,11,5,175
27,2766,10,4,114
28,3924,11,3,151
29,3015,11,4,92
30,6666,9,3,214
31,3854,11,15,150
32,4355,8,4,122
33,4343,6,3,152
34,6108,7,8,196
35,2523,6,0,86
36,2327,3,3,85
37,3990,4,11,156
38,2191,2,1,72
39,1941,6,3,82
41,4998,4,13,180
42,4289,8,4,150
43,3880,4,2,127
44,3786,9,5,167
45,4298,6,19,225
46,3630,4,10,137
47,2826,3,3,114
48,7407,5,15,263
50,2998,4,1,126
51,7018,9,16,236
52,2941,2,1,99
53,6432,11,8,212
55,3988,6,9,142
56,4978,9,2,186
57,3388,1,7,112
58,4467,3,16,149
59,3246,5,14,132
60,5072,7,6,115
61,6339,8,5,248
62,4239,2,1,178
63,3454,0,0,107
64,7571,7,12,269
65,3333,3,5,96
66,3818,6,0,134
68,5058,9,2,187
69,3601,0,3,94
70,3480,1,7,114
71,3525,5,0,96
72,3606,5,15,138
73,5542,7,6,122
74,6559,8,6,257
75,3623,3,0,95
76,10493,9,1,244
77,4446,6,11,190
78,2957,4,2,118
79,5538,6,6,178
80,4681,7,12,170
81,5273,9,22,250
82,5055,7,11,159
84,3169,8,1,121
85,6168,6,6,151
86,2407,8,20,72
87,3630,4,10,137
88,2826,3,3,114
89,7407,5,15,263
91,2998,4,1,126
92,3052,5,14,129
93,4628,8,3,160
94,4082,11,5,175
96,2766,10,4,114
97,3924,11,3,151
98,3015,11,4,92
99,5409,10,27,275
100,5323,6,13,192
101,8001,8,7,203
102,4150,4,2,145
103,4609,1,12,168
104,6348,4,15,194
106,7231,8,3,171
108,6814,8,22,249
110,5563,5,8,163
111,4842,6,4,86
113,10206,10,17,172
115,5731,4,1,148
116,4139,0,1,92
119,7018,9,16,236
120,3630,4,10,137
121,3525,5,0,96
122,7571,7,12,269
123,4082,11,5,175
124,3052,5,14,129
125,5394,7,14,224
126,6339,8,5,248
127,3920,9,5,162
128,7407,5,15,263
129,4298,6,19,225
132,3052,5,14,129
133,2998,4,1,126
134,2327,3,3,85
135,5072,7,6,115
137,4842,6,4,86
138,4289,8,4,150
139,4467,3,16,149
140,4998,4,13,180
141,5323,6,13,192
142,2064,4,5,76
144,6666,9,3,214
146,2826,3,3,114
148,6666,9,3,214
149,3924,11,3,151
150,6666,9,3,214
151,4139,0,1,92
152,4446,6,11,190
153,5055,7,11,159
154,3924,11,3,151
155,6168,6,6,151
156,4628,8,3,160
157,2218,6,3,81
158,6666,9,3,214
159,9453,6,10,294
160,6339,8,5,248
161,3601,0,3,94
162,10493,9,1,244
163,3234,8,14,151
164,2941,2,1,99
165,3623,3,0,95
166,4355,8,4,122
167,2941,2,1,99
168,2998,4,1,126
169,3973,3,4,91
171,5323,6,13,192
172,3541,4,9,124
174,4139,0,1,92
175,3630,4,10,137
176,3052,5,14,129
177,3880,4,2,127
178,10206,10,17,172
179,3246,5,14,132
180,3920,9,5,162
181,3854,11,15,150
182,6666,9,3,214
184,6168,6,6,151
185,5394,7,14,224
186,3234,8,14,151
187,3630,4,10,137
188,2766,10,4,114
189,2826,3,3,114
190,3630,4,10,137
191,5538,6,6,178
192,3169,8,1,121
193,3601,0,3,94
195,3015,11,4,92
196,3234,8,14,151
197,4344,7,11,162
198,3884,7,10,144
199,3988,6,9,142
200,2826,3,3,114
201,3606,5,15,138
202,6168,6,6,151
203,4021,11,1,131
204,4446,6,11,190
205,3246,5,14,132
206,4998,4,13,180
207,2621,5,1,76
208,2218,6,3,81
209,7231,8,3,171
210,2523,6,0,86
211,7018,9,16,236
213,6432,11,8,212
214,2826,3,3,114
215,4978,9,2,186
216,2064,4,5,76
217,3333,3,5,96
218,2766,10,4,114
219,4082,11,5,175
220,5273,9,22,250
221,6348,4,15,194
222,3606,5,15,138
223,7407,5,15,263
224,4021,11,1,131
225,3623,3,0,95
226,5542,7,6,122
227,3216,5,5,142
228,3454,0,0,107
229,2407,8,20,72
230,2957,4,2,118
231,4842,6,4,86
232,4467,3,16,149
233,4115,6,3,191
234,2621,5,1,76
235,5055,7,11,159
237,6168,6,6,151
238,7018,9,16,236
239,3630,4,10,137
240,3525,5,0,96
241,7571,7,12,269
242,4082,11,5,175
243,3052,5,14,129
244,5394,7,14,224
245,6339,8,5,248
246,3920,9,5,162
247,7407,5,15,263
248,4298,6,19,225
251,3052,5,14,129
252,2998,4,1,126
253,2327,3,3,85
254,5072,7,6,115
256,4842,6,4,86
257,4289,8,4,150
258,4467,3,16,149
259,4998,4,13,180
260,5323,6,13,192
261,2064,4,5,76
263,6666,9,3,214
265,2826,3,3,114
267,6666,9,3,214
268,3924,11,3,151
269,6666,9,3,214
270,4139,0,1,92
271,4446,6,11,190
272,5055,7,11,159
273,3924,11,3,151
274,6168,6,6,151
275,4628,8,3,160
276,2218,6,3,81
277,6666,9,3,214
278,9453,6,10,294
279,6339,8,5,248
280,3601,0,3,94
281,10493,9,1,244
282,3234,8,14,151
283,2941,2,1,99
284,3623,3,0,95
285,4355,8,4,122
286,2941,2,1,99
287,2998,4,1,126
288,3973,3,4,91
290,5323,6,13,192
291,3541,4,9,124
293,4139,0,1,92
294,3630,4,10,137
295,3052,5,14,129
296,3880,4,2,127
297,10206,10,17,172
298,3246,5,14,132
299,3920,9,5,162
300,3854,11,15,150
301,6666,9,3,214
303,6168,6,6,151
304,5394,7,14,224
305,3234,8,14,151
306,3630,4,10,137
307,2766,10,4,114
308,2826,3,3,114
309,3630,4,10,137
310,5538,6,6,178
311,3169,8,1,121
312,3601,0,3,94
314,3015,11,4,92
315,3234,8,14,151
316,4344,7,11,162
317,3884,7,10,144
318,3988,6,9,142
319,2826,3,3,114
320,3606,5,15,138
321,6168,6,6,151
322,4021,11,1,131
